PathwayID	Definition	OriginalWebSite	Fisher-Pvalue	SelectionCounts	SelectionSize	Count	Size	FDR	Enrichment_Score	GeneRatio	Genes
sasa01212	Fatty acid metabolism - Salmo salar (Atlantic salmon)	http://www.genome.jp/kegg-bin/show_pathway?sasa01212+:100380286+:106561238+:100329172+:100196617+:100194570+:106611586+:100136383+:100136441+:106608385+:106560707+:106562710+:106573415+:106575476+:106584797+:106606039+:106610003+:106610271+:106570303+:100196302	6.841894e-005	 19	815	114	13158	1.128913e-002	4.164824	0.023313	ACSL1//CPT1B//D6FADC//DH12B//ECHS1//ELOVL6//FADSD5//FADSD6//HADHB//LOC106560707//LOC106562710//LOC106573415//LOC106575476//LOC106584797//LOC106606039//LOC106610003//LOC106610271//OXSM//PPT2A
sasa04514	Cell adhesion molecules (CAMs) - Salmo salar (Atlantic salmon)	http://www.genome.jp/kegg-bin/show_pathway?sasa04514+:100286596+:106560349+:106562164+:106563775+:106563811+:106565877+:106567551+:106568649+:106571924+:106572712+:106573899+:106574265+:106574556+:106575341+:106575475+:106577645+:106578389+:106579180+:106581204+:106582201+:106582436+:106583106+:106584192+:106584306+:106585050+:106588402+:106592238+:106596771+:106600490+:106601044+:106602987+:106603209+:106606033+:106608688+:106608766+:106610997+:106611148+:106612191+:106612808+:106613020+:100195048+:106565095+:100196207	3.012600e-003	 43	815	450	13158	1.660098e-001	2.521058	0.052761	CD40L//LOC106560349//LOC106562164//LOC106563775//LOC106563811//LOC106565877//LOC106567551//LOC106568649//LOC106571924//LOC106572712//LOC106573899//LOC106574265//LOC106574556//LOC106575341//LOC106575475//LOC106577645//LOC106578389//LOC106579180//LOC106581204//LOC106582201//LOC106582436//LOC106583106//LOC106584192//LOC106584306//LOC106585050//LOC106588402//LOC106592238//LOC106596771//LOC106600490//LOC106601044//LOC106602987//LOC106603209//LOC106606033//LOC106608688//LOC106608766//LOC106610997//LOC106611148//LOC106612191//LOC106612808//LOC106613020//MYP0//NFASC//TNR5
sasa03320	PPAR signaling pathway - Salmo salar (Atlantic salmon)	http://www.genome.jp/kegg-bin/show_pathway?sasa03320+:100380286+:106561238+:100329172+:100136383+:100136441+:100194973+:106560707+:106568909+:106570598+:106573415+:106583677+:106584797+:106586420+:106586421+:106586902+:106595315+:106599103+:106610003+:106573782+:100136536	3.018360e-003	 20	815	165	13158	1.660098e-001	2.520229	0.024540	ACSL1//CPT1B//D6FADC//FADSD5//FADSD6//ILK//LOC106560707//LOC106568909//LOC106570598//LOC106573415//LOC106583677//LOC106584797//LOC106586420//LOC106586421//LOC106586902//LOC106595315//LOC106599103//LOC106610003//PLIN1//PPARB2B
sasa00120	Primary bile acid biosynthesis - Salmo salar (Atlantic salmon)	http://www.genome.jp/kegg-bin/show_pathway?sasa00120+:106601564+:106571109+:106571111+:106580502+:106585111+:106586420+:106586421	5.862402e-003	  7	815	 36	13158	2.418241e-001	2.231924	0.008589	HSD3B7//LOC106571109//LOC106571111//LOC106580502//LOC106585111//LOC106586420//LOC106586421
sasa00071	Fatty acid degradation - Salmo salar (Atlantic salmon)	http://www.genome.jp/kegg-bin/show_pathway?sasa00071+:100380286+:100286782+:106561238+:100194570+:106608385+:106560707+:106573415+:106575476+:106590083+:106610003+:100196721	1.003963e-002	 11	815	 80	13158	3.313078e-001	1.998282	0.013497	ACSL1//ALDH3A2//CPT1B//ECHS1//HADHB//LOC106560707//LOC106573415//LOC106575476//LOC106590083//LOC106610003//PECI
sasa00250	Alanine, aspartate and glutamate metabolism - Salmo salar (Atlantic salmon)	http://www.genome.jp/kegg-bin/show_pathway?sasa00250+:100194621+:100195237+:106561133+:106563757+:106570297+:106572158+:106574285+:106579841+:106589763+:106610855+:100195211	2.462928e-002	 11	815	 91	13158	5.616781e-001	1.608548	0.013497	ADSSL2//GFPT1//LOC106561133//LOC106563757//LOC106570297//LOC106572158//LOC106574285//LOC106579841//LOC106589763//LOC106610855//PURA2
sasa00360	Phenylalanine metabolism - Salmo salar (Atlantic salmon)	http://www.genome.jp/kegg-bin/show_pathway?sasa00360+:100195397+:106561133+:106579841+:106586788+:106589763+:100196518	2.800433e-002	  6	815	 38	13158	5.616781e-001	1.552775	0.007362	HPD//LOC106561133//LOC106579841//LOC106586788//LOC106589763//MIF
sasa01040	Biosynthesis of unsaturated fatty acids - Salmo salar (Atlantic salmon)	http://www.genome.jp/kegg-bin/show_pathway?sasa01040+:100329172+:100196617+:106611586+:100136383+:100136441+:106562710+:106584797+:106606039	3.082389e-002	  8	815	 60	13158	5.616781e-001	1.511113	0.009816	D6FADC//DH12B//ELOVL6//FADSD5//FADSD6//LOC106562710//LOC106584797//LOC106606039
sasa04920	Adipocytokine signaling pathway - Salmo salar (Atlantic salmon)	http://www.genome.jp/kegg-bin/show_pathway?sasa04920+:100380286+:100286781+:106561238+:106586204+:100303650+:106560707+:106563020+:106568295+:106568909+:106573415+:106575098+:106576193+:106576468+:106584036+:106585772+:106599103+:106607598+:106610003+:106609272	3.198466e-002	 19	815	194	13158	5.616781e-001	1.495058	0.023313	ACSL1//AGRP2//CPT1B//G6PC2//LEPR//LOC106560707//LOC106563020//LOC106568295//LOC106568909//LOC106573415//LOC106575098//LOC106576193//LOC106576468//LOC106584036//LOC106585772//LOC106599103//LOC106607598//LOC106610003//PRKCQ
sasa00830	Retinol metabolism - Salmo salar (Atlantic salmon)	http://www.genome.jp/kegg-bin/show_pathway?sasa00830+:100136916+:100136926+:100380445+:106567841+:106568567+:106568881+:106569137+:106578413+:106582983+:106588337+:106599325	3.483488e-002	 11	815	 96	13158	5.616781e-001	1.457986	0.013497	CYP1A//CYP1A//DHRS3//LOC106567841//LOC106568567//LOC106568881//LOC106569137//LOC106578413//LOC106582983//LOC106588337//LOC106599325
